prénom;nom;pays;catégorie;classement mondial;main;age
Novak;Djokovic;Serbie;homme;1;droitier;34
Daniil;Medvedev;Russie;homme;2;droitier;26
Rafael;Nadal;Espagne;homme;3;gaucher;35
Alexander;Zverev;Allemagne;homme;4;droitier;24
Stefanos;Tsitsipas;Grèce;homme;5;droitier;23
Ashleigh;Barty;Australie;femme;1;droitier;25
Barbora;Krejcikova;Republique Tchèque;femme;2;droitier;26
Aryna;Sabalenka;Biélorussie;femme;3;droitier;23
Iga;Swiatek;Pologne;femme;4;droitier;20
Anett;Kontaveit;Estonie;femme;5;droitier;26
